iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
76,executor,1663952808519,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,1.676128,None,None,None,20
77,executor,1663952808520,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.637184,None,None,None,20
78,executor,1663952808521,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.129856,None,None,None,20
79,executor,1663952808521,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.254528,None,None,None,20
80,executor,1663952808522,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.12928,None,None,None,20
81,executor,1663952808522,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,16.208928,None,None,None,20
82,executor,1663952808523,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,15.881824,None,None,None,20
83,executor,1663952808524,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.581472,None,None,None,20
84,executor,1663952808524,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.383904,None,None,None,20
85,executor,1663952808525,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.507552,None,None,None,20
86,executor,1663952808525,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.353408,None,None,None,20
87,executor,1663952808526,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,13.358208,None,None,None,20
88,executor,1663952808526,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.262912,None,None,None,20
89,executor,1663952808527,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.34608,None,None,None,20
90,executor,1663952808528,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.34608,None,None,None,20
91,executor,1663952808528,78fec0d830b7b5a9882a85c9ef3abdcca6a44369d71e7c8a20e01063d8eedca7,1030fc1920537ef8569659b57b8ecf0187ca008175e9b281e6c645b6de45271d,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 0)]",None,0.96208,None,None,None,20
108,executor,1663952843869,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.206848,None,None,None,20
109,executor,1663952843869,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.252224,None,None,None,20
110,executor,1663952843869,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.0336,None,None,None,20
111,executor,1663952843870,adc0d6a262c74286fd28beb08283c5a7ac8c8c2a78eac15e26f0b621520eae36,83c3752d9309abf0f953b3e60687de69c2060e5efc085eefec77abf3615f9f36,"[(id, 0),(id, 0),(id, 0),(id, 0),(id, 0),(splitJoinRule, 1)]",None,0.554656,None,None,None,20
